2025/06/21,78257,0,0,0
2025/08/16,79005,60,99.18,1.653
2025/08/22,79524,38.48,63.92,1.661
2025/08/29,79935,31.18,51.88,1.664
2025/09/05,80388,32.57,54.59,1.676
2025/09/12,80839,35.23,59.01,1.675
2025/09/18,81256,30.20,50.71,1.679
2025/09/26,81703,39.65,66.57,1.679
2025/10/03,82118,35.49,59.80,1.685
2025/10/11,82690,46.40,77.67,1.674
2025/10/30,83154,36.45,62.66,1.719
2025/11/07,83637,39.88,69.75,1.749
2025/11/18,84156,43.84,77.84,1.759
2025/11/25,84595,37.11,64.76,1.745
2025/12/01,85091,43.25,74.35,1.719
2025/12/02,85222,11.68,20;08,1.719
2025/12/08,85760,44.26,75.20,1.699
2025/12/12,86266,40.18,67.07,1.669
2025/12/16,86430,13.47,22.29,1.655
2025/12/29,86924,41.51,68.03,1.639
2026/01/03,87558,50.90,84.95,1.669
2026/01/06,87702,12.79,21.47,1.679
2026/01/09,88147,36.64,61.52,1.679
2026/01/16,88601,36.95,63.15,1.709
2026/01/23,89052,35.65,61.64,1.729
2026/02/01,89571,42.02,73.07,1.739
2026/02/06,90042,35.78,62.58,1.749
2026/02/16,90841,58.90,101.25,1.719
2026/02/17,90841,0,35,0,addBleu
2026/02/18,91459,46.17,80.10,1.735
2026/03/04,92088,46.46,92.46,1.990
2026/03/06,92448,24.96,49.67,1.990
2026/03/11,92816,27.72,55.16,1.990
2026/03/20,93262,33.14,69.26,2.090
2026/03/31,93763,38.20,79.84,2.090
2026/04/02,94057,20.67,47.52,2.299,diesel classic Intermarché Port
2026/04/25,94648,44.83,97.01,2.164,diesel classic Intermarché Ambèrieu
2026/05/08,95058,28.45,57.36,2.016,diesel premier Total Pont d'Ain
2026/05/13,95473,28.99,60.85,2.099,diesel classic Intermarché Ambèrieu
2026/05/23,95975,33.72,70.47,2.090,diesel Total Lyon
2026/06/02,96560,40.94,80.94,1.977
2026/06/04,96870,23.28,45.70,1.963
2026/06/10,97045,11.54,22.46,1.946
2026/06/16,97436,27.07,50.70,1.873
2026/06/19,98195,59.03,112.04,1.898
2026/06/26,98722,42.04,79.41,1.889
2026/07/08,99331,43.86,81.97,1.869
2026/08/12,99832,34.30,73.81,2.152
2026/08/14,100234,31.56,69.94,2.216
2026/08/21,100810,44.39,99.12,2.233
2026/08/28,101422,44.51,96.68,2.172
2026/09/04,101961,39.02,87.00,2.250
2026/09/11,102473,37.14,83.57,2.250
2026/09/18,102904,30.00,67.50,2.250
